Threat,Vector,Date,User,Source,Action,Size,Attatchments
1,2,10/23/2010 06:18:48,AAM0658,PC-9923,Connect,,
1,2,10/23/2010 06:26:48,AAM0658,PC-9923,Disconnect,,
1,2,10/29/2010 01:30:10,AAM0658,PC-9923,Connect,,
1,2,10/29/2010 05:00:19,AAM0658,PC-9923,Disconnect,,
1,2,09/10/2010 20:01,AJR0932,PC-4748,Connect,,
1,2,09/10/2010 20:01,AJR0932,PC-4748,Disconnect,,
1,2,09/18/2010 00:20:18,AJR0932,PC-4748,Connect,,
1,2,09/18/2010 00:56:46,AJR0932,PC-4748,Disconnect,,
1,2,07/30/2010 21:01:47,BDV0168,PC-2464,Connect,,
1,2,07/30/2010 21:03:09,BDV0168,PC-2464,Disconnect,,
1,2,08/06/2010 04:48,BDV0168,PC-2464,Connect,,
1,2,08/06/2010 04:53,BDV0168,PC-2464,Disconnect,,
1,2,08/10/2010 05:03,BDV0168,PC-2464,Connect,,
1,2,08/10/2010 05:12,BDV0168,PC-2464,Disconnect,,
1,2,07/13/2010 21:06:06,BIH0745,PC-2661,Connect,,
1,2,07/13/2010 21:09:08,BIH0745,PC-2661,Disconnect,,
1,2,09/21/2010 02:46:59,BLS0678,PC-6031,Connect,,
1,2,09/21/2010 02:48:37,BLS0678,PC-6031,Disconnect,,
1,2,09/29/2010 18:52:55,BLS0678,PC-6031,Connect,,
1,2,09/29/2010 19:05:29,BLS0678,PC-6031,Disconnect,,
1,2,10/06/2010 22:59,BTL0226,PC-4534,Connect,,
1,2,10/06/2010 23:04,BTL0226,PC-4534,Disconnect,,
1,2,10/12/2010 02:45,BTL0226,PC-4534,Connect,,
1,2,10/12/2010 02:57,BTL0226,PC-4534,Disconnect,,
1,2,10/14/2010 05:51:44,BTL0226,PC-4534,Connect,,
1,2,10/14/2010 05:52:51,BTL0226,PC-4534,Disconnect,,
1,2,08/11/2010 05:11,CAH0936,PC-2276,Connect,,
1,2,08/11/2010 05:13,CAH0936,PC-2276,Disconnect,,
1,2,08/12/2010 22:42,CAH0936,PC-2276,Connect,,
1,2,08/12/2010 22:43,CAH0936,PC-2276,Disconnect,,
1,2,02/04/2011 07:22,DCH0843,PC-8720,Connect,,
1,2,02/04/2011 07:31,DCH0843,PC-8720,Disconnect,,
1,2,07/22/2010 22:23:34,EHB0824,PC-0141,Connect,,
1,2,07/22/2010 22:28:18,EHB0824,PC-0141,Disconnect,,
1,2,07/27/2010 06:29:04,EHB0824,PC-0141,Connect,,
1,2,07/27/2010 07:00:35,EHB0824,PC-0141,Disconnect,,
1,2,07/28/2010 04:15:20,EHB0824,PC-0141,Connect,,
1,2,07/28/2010 04:40:58,EHB0824,PC-0141,Disconnect,,
1,2,07/28/2010 22:10:47,EHB0824,PC-0141,Connect,,
1,2,07/28/2010 22:19:12,EHB0824,PC-0141,Disconnect,,
1,2,10/02/2010 04:23,EHD0584,PC-8669,Connect,,
1,2,10/02/2010 04:39,EHD0584,PC-8669,Disconnect,,
1,2,10/07/2010 23:23,EHD0584,PC-8669,Connect,,
1,2,10/07/2010 23:46,EHD0584,PC-8669,Disconnect,,
1,2,10/08/2010 20:09,EHD0584,PC-8669,Connect,,
1,2,10/08/2010 20:09,EHD0584,PC-8669,Disconnect,,
1,2,01/05/2011 22:12,FMG0527,PC-4256,Connect,,
1,2,01/05/2011 22:21,FMG0527,PC-4256,Disconnect,,
1,2,01/11/2011 23:43,FMG0527,PC-4256,Connect,,
1,2,01/11/2011 23:47,FMG0527,PC-4256,Disconnect,,
1,2,11/25/2010 06:45:46,FTM0406,PC-1786,Connect,,
1,2,11/25/2010 06:46:03,FTM0406,PC-1786,Disconnect,,
1,2,12/02/2010 00:28,FTM0406,PC-1786,Connect,,
1,2,12/02/2010 00:33,FTM0406,PC-1786,Disconnect,,
1,2,11/09/2010 06:44,GHL0460,PC-6255,Connect,,
1,2,11/09/2010 07:06,GHL0460,PC-6255,Disconnect,,
1,2,11/19/2010 06:46:12,HJB0742,PC-5635,Connect,,
1,2,11/19/2010 06:52:02,HJB0742,PC-5635,Disconnect,,
1,2,11/25/2010 04:09:24,HJB0742,PC-5635,Connect,,
1,2,11/25/2010 04:49:40,HJB0742,PC-5635,Disconnect,,
1,2,07/14/2010 01:19:39,JMB0308,PC-0814,Connect,,
1,2,07/14/2010 02:12:35,JMB0308,PC-0814,Disconnect,,
1,2,07/15/2010 05:21:36,JMB0308,PC-0814,Connect,,
1,2,07/15/2010 06:36:09,JMB0308,PC-0814,Disconnect,,
1,2,07/20/2010 23:13:47,JMB0308,PC-0814,Connect,,
1,2,07/20/2010 23:14:45,JMB0308,PC-0814,Disconnect,,
1,2,01/19/2011 21:24:15,JRG0207,PC-8908,Connect,,
1,2,01/19/2011 21:32:02,JRG0207,PC-8908,Disconnect,,
1,2,01/25/2011 23:21:05,JRG0207,PC-8908,Connect,,
1,2,01/25/2011 23:28:33,JRG0207,PC-8908,Disconnect,,
1,2,02/12/2011 07:28,KLH0596,PC-0132,Connect,,
1,2,02/12/2011 07:30,KLH0596,PC-0132,Disconnect,,
1,2,07/07/2010 21:10,KPC0073,PC-2638,Connect,,
1,2,07/07/2010 21:23,KPC0073,PC-2638,Disconnect,,
1,2,07/12/2010 23:51,KPC0073,PC-2638,Connect,,
1,2,07/12/2010 23:51,KPC0073,PC-2638,Disconnect,,
1,2,07/15/2010 02:38:24,KPC0073,PC-2638,Connect,,
1,2,07/15/2010 02:42:53,KPC0073,PC-2638,Disconnect,,
1,2,07/31/2010 07:45:34,LJR0523,PC-5162,Connect,,
1,2,07/31/2010 07:45:59,LJR0523,PC-5162,Disconnect,,
1,2,08/05/2010 05:43,LJR0523,PC-5162,Connect,,
1,2,08/05/2010 05:50,LJR0523,PC-5162,Disconnect,,
1,2,08/07/2010 03:30,LJR0523,PC-5162,Connect,,
1,2,08/07/2010 05:08,LJR0523,PC-5162,Disconnect,,
1,2,08/11/2010 03:17,LJR0523,PC-5162,Connect,,
1,2,08/11/2010 04:09,LJR0523,PC-5162,Disconnect,,
1,2,09/14/2010 20:53:56,LQC0479,PC-6380,Connect,,
1,2,09/14/2010 21:17:44,LQC0479,PC-6380,Disconnect,,
1,2,09/15/2010 23:34:13,LQC0479,PC-6380,Connect,,
1,2,09/15/2010 23:41:49,LQC0479,PC-6380,Disconnect,,
1,2,09/21/2010 23:01:14,LQC0479,PC-6380,Connect,,
